"ADM 5720, Marketing "
"ADM 5730, Comportement au sein de l'organisation "
"ADM 5731, Gestion des ressources humaines "
"ADM 5741, Comptabilité financière "
"ADM 5742, Comptabilité de gestion "
"ADM 5750, Principes de finance "
"ADM 5751, Microéconomie de la gestion "
"ADM 5752, Macroéconomie de la gestion "
"ADM 5760, Stratégie et politique de la gestion I "
"ADM 5761, Stratégie et politique de la gestion II "
"ADM 5770, Gestion de l'information "
"ADM 5780, Modèles de décision en gestion des opérations "
"ADM 6260, Project Management I "
"ADM 6261, Project Management II "
"ADM 6274, International E-Business Strategies "
"ADM 6275, Big Data Analytics "
"ADM 6276, Enterprise Resource Planning Systems Management "
"ADM 6277, E-Business Energy Management "
"ADM 6279, Socio-Technical Change "
"ADM 6286, International E-Business Strategies for DTI "
"ADM 6287, Business Intelligence Technologies and Big Data Analytics for DTI "
"ADM 6301, Multivariate Methods in Management "
"ADM 6302, Business and Economic Forecasting "
"ADM 6311, Public Management and Administration in Canada "
"ADM 6315, Project and Program Evaluation "
"ADM 6316, Issues in Public Policy and Administration "
"ADM 6319, Management of Trade Policy "
"ADM 6320, Marketing Research "
"ADM 6321, Services Marketing "
"ADM 6322, Consumer Behavior "
"ADM 6323, Promotional Management "
"ADM 6324, Marketing Strategy "
"ADM 6325, International Marketing "
"ADM 6326, Industrial and Technology Marketing "
"ADM 6330, Organization Design "
"ADM 6331, Managing Organizational Change "
"ADM 6332, Industrial Relations "
"ADM 6335, Performance Management "
"ADM 6336, Employment and Pay Equity "
"ADM 6340, Accounting for Managerial Planning and Control "
"ADM 6342, Corporate Accounting and Financial Analysis "
"ADM 6343, Tax Policy and Management "
"ADM 6344, Auditing-Internal, External and Comprehensive "
"ADM 6350, Corporate Finance "
"ADM 6351, Management of Fixed Income Securities "
"ADM 6353, Financial Instruments and Investment Strategies "
"ADM 6354, International Corporate Finance "
"ADM 6357, Options, Futures and Derivative Securities "
"ADM 6358, Real Estate Investment and Finance "
"ADM 6362, Project Management "
"ADM 6365, Business Law "
"ADM 6367, Technology Policy and Research and Development Management "
"ADM 6368, Starting a Small Business "
"ADM 6373, Business Telecommunication Systems "
"ADM 6376, Information Systems for Decision-Making "
"ADM 6377, Planning and Development of Information Systems "
"ADM 6381, Managing Technological Risk "
"ADM 6382, Management Analysis and Control of Production Systems "
"ADM 6383, Mathematical Programming "
"ADM 6392, Directed Readings in Administration II "
"ADM 6393, Seminar in Administration I "
"ADM 6395, Seminar in Administration III "
"ADM 6396, Seminar in Administration IV "
"ADM 6420, Digital Marketing "
"ADM 6660, Gestion de projet I "
"ADM 6661, Gestion de projet II "
"ADM 6677, Gestion de l'énergie pour les affaires électroniques "
"ADM 6701, Méthodes d'analyse multivariée en gestion "
"ADM 6702, Prévision dans l'économie et dans l'entreprise "
"ADM 6711, Gestion et administration publiques au Canada "
"ADM 6715, Évaluation de programmes et de projets "
"ADM 6716, Problèmes de politique générale et d'administration "
"ADM 6719, La gestion de la politique commerciale "
"ADM 6720, Méthodes de recherche en marketing "
"ADM 6721, Marketing des services "
"ADM 6722, Comportement du consommateur "
"ADM 6723, Gestion de la promotion "
"ADM 6724, Stratégie du marketing "
"ADM 6725, Marketing international "
"ADM 6726, Marketing des biens technologiques et industriels "
"ADM 6730, Design des organisations "
"ADM 6731, Gestion du changement organisationnel "
"ADM 6732, Relation de travail "
"ADM 6735, Gestion de la performance "
"ADM 6736, Équité en matière d'emploi et équité salariale "
"ADM 6740, Comptabilité pour la planification managériale et le contrôle "
"ADM 6742, Comptabilité de l'entreprise et l'analyse financière "
"ADM 6743, Politiques fiscales et gestion "
"ADM 6744, La vérification interne, externe et globale "
"ADM 6750, Finance d'entreprise "
"ADM 6751, La gestion des titres à revenu fixe "
"ADM 6753, Instruments financièrs et stratégies d'investissement "
"ADM 6754, Gestion financière internationale "
"ADM 6757, Options, contrats à terme et titres dérivés "
"ADM 6758, Investissement et financement dans l'immobilier "
"ADM 6762, La gestion de projets "
"ADM 6763, Gestion multinationale "
"ADM 6764, Gestion comparée "
"ADM 6765, Droit des affaires "
"ADM 6767, La technologie et la gestion de la recherche et du développement "
"ADM 6768, Le lancement d'une petite et moyenne entreprise "
"ADM 6773, Systèmes de télécommunication en gestion "
"ADM 6776, Systèmes d'information pour la prise de décision "
"ADM 6777, Planification et développement des systèmes d'information "
"ADM 6781, La gestion du risque technologique "
"ADM 6782, Gestion, analyse et contrôle des systèmes de production "
"ADM 6783, Programmation mathématique "
"ADM 6792, Lectures dirigées en administration II "
"ADM 6793, Séminaire en administration I "
"ADM 6794, Séminaire en administration II "
"ADM 6795, Séminaire en administration III "
"ADM 6796, Séminaire en administration IV "
"ADM 6901, Projet / Project "
"AMM 5101, Theory of Elasticity "
"AMM 5102, Advanced Stress Analysis "
"AMM 5103, Theory of Perfectly Plastic Solids "
"AMM 5106, Advanced Topics in Elasticity "
"AMM 5117, Introduction to Composite Materials "
"AMM 5118, Introduction to Plasticity "
"AMM 5119, Fracture Mechanics "
"AMM 5121, Materials Selection in Engineering Design "
"AMM 5122, Failure analysis of high-temperature protective coatings for aerospace applications "
"AMM 5123, Microstructure and Properties of Materials "
"AMM 5124, Fatigue and Damage Tolerance in Aircraft "
"AMM 5125, Materials characterization techniques "
"AMM 5126, Deformation of Materials "
"AMM 5129, Hot Working Metals "
"AMM 5130, Deformation and Fracture of Engineering Materials "
"AMM 5144, Superalloys and Ceramix-Metal Matrix Composites "
"AMM 5159, Advanced Production Planning and Control "
"AMM 5168, Industrial Organization "
"AMM 5179, Manufacturing System Analysis "
"AMM 5182, Theory of Elastic Instability "
"AMM 5317, Experimental Stress Analysis "
"AMM 5345, Surfaces and Coatings "
"AMM 5362, Failure Prevention "
"AMM 5364, Computational Metallurgy "
"AMM 5369, Metallic Phases and Transformations "
"AMM 5374, Integrated Manufacturing – CIMS "
"AMM 5381, Lightweight Structures "
"AMM 5396, Directed Studies "
"AMM 6998, Projet / Project "
"AMM 9997, Préparation du rapport de candidature au doctorat / Preparation of Ph.D. Candidacy Paper"
"AMM 9998, Examen général du doctorat / PhD Comprehensive"
"AFR 1100, Introduction to African Studies "
"AFR 1500, Introduction aux études africaines "
"AFR 3101, Decolonising Research Methodologies "
"AFR 3102, Economic Structures and Systems in Africa "
"AFR 3103, Special Topic in African Studies "
"AFR 3501, Décolonisation des méthodologies de recherche "
"AFR 3502, Structures et systèmes économiques en Afrique "
"AFR 3503, Thème choisi en études africaines "
"AFR 4103, Special Topic in African Studies "
"AFR 4503, Thème choisi en études africaines "
"ANA 6300, Seminars "
"ANP 1105, Human Anatomy and Physiology I "
"ANP 1106, Human Anatomy and Physiology II "
"ANP 1107, Human Anatomy and Physiology III "
"ANP 1111, Essentials of Human Anatomy and Physiology I "
"ANP 1115, Essentials of Human Anatomy and Physiology II "
"ANP 1505, Anatomie humaine et physiologie I "
"ANP 1506, Anatomie humaine et physiologie II "
"ANP 1507, Anatomie humaine et physiologie III "
"ANP 1511, Principes d’anatomie et de physiologie humaines I "
"ANP 1515, Principes d’anatomie et de physiologie humaines II "
"ANE 6101, Anesthesia "
"ANE 6102, Resident Seminars "
"ANT 1101, Social and Cultural Anthropology "
"ANT 1501, Anthropologie sociale et culturelle "
"ANT 2103, Socio-Anthropology of the Family "
"ANT 2111, Introduction to Research Methods in Anthropology "
"ANT 2113, Techniques, Cultures and Environments "
"ANT 2121, Classical Theories in Anthropology "
"ANT 2126, Anthropology and Indigenous Peoples "
"ANT 2128, Anthropology for the 21st Century "
"ANT 2129, Anthropology of Cities "
"ANT 2130, Anthropology of Popular Culture "
"ANT 2131, Museums, Representation and Power "
"ANT 2503, Socioanthropologie de la famille "
"ANT 2511, Introduction aux méthodes de recherche en anthropologie "
"ANT 2513, Techniques, cultures et milieux "
"ANT 2521, Théories classiques en anthropologie "
"ANT 2526, Anthropologie et peuples autochtones "
"ANT 2528, Anthropologie pour le 21e siècle "
"ANT 2529, Anthropologie de la ville "
"ANT 2530, Anthropologie de la culture populaire "
"ANT 2531, Musées, représentations et pouvoir "
"ANT 3105, Selected Topics in Anthropology "
"ANT 3106, Environmental Anthropology "
"ANT 3120, Anthropology of Science and Technologies "
"ANT 3128, Political Anthropology "
"ANT 3131, Capitalism and Ethnographies of Globalization "
"ANT 3132, Psychological Anthropology "
"ANT 3133, Medical Anthropology "
"ANT 3140, Cultures, Societies and Identity "
"ANT 3142, Ethnographer's Magic: Reading and Writing Anthropology "
"ANT 3143, Visual Anthropology "
"ANT 3144, Practical Training in Research Methods in Anthropology "
"ANT 3307, Contemporary Japanese Society "
"ANT 3326, Indigenous Resurgences in a Globalized World "
"ANT 3340, Anthropology of Latin America and the Caribbean "
"ANT 3341, Anthropology of Oceania "
"ANT 3342, Anthropology of Africa "
"ANT 3344, Anthropology of South Asia "
"ANT 3345, Anthropology of the Maghreb and the Middle East "
"ANT 3505, Thèmes choisis en anthropologie "
"ANT 3506, Anthropologie environnementale "
"ANT 3520, Anthropologie de la science et des technologies "
"ANT 3528, Anthropologie politique "
"ANT 3531, Capitalisme et ethnographies de la mondialisation "
"ANT 3532, Anthropologie psychologique "
"ANT 3533, Anthropologie de la santé "
"ANT 3540, Cultures, sociétés et identité "
"ANT 3542, La magie de l'ethnographe: lire et écrire l'anthropologie "
"ANT 3543, Anthropologie visuelle "
"ANT 3544, Formation pratique aux méthodes de recherche en anthropologie "
"ANT 3707, Société japonaise contemporaine "
"ANT 3726, Résurgences autochtones dans un monde globalisé "
"ANT 3740, Anthropologie de l'Amérique latine et des Caraïbes "
"ANT 3741, Anthropologie de l'Océanie "
"ANT 3742, Anthropologie de l'Afrique "
"ANT 3744, Anthropologie de l'Asie du Sud "
"ANT 3745, Anthropologie du Maghreb et du Moyen-Orient "
"ANT 4010, Stage international en anthropologie / International Internship in Anthropology "
"ANT 4105, Selected Topics in Anthropology "
"ANT 4120, Anthropology of Law "
"ANT 4123, Theoretical Currents in Contemporary Anthropology "
"ANT 4133, Ethnography of New Media "
"ANT 4135, Food and Food Systems "
"ANT 4137, Historical Anthropology "
"ANT 4301, Advanced Research Methods in Anthropology "
"ANT 4505, Thèmes choisis en anthropologie "
"ANT 4520, Anthropologie du droit "
"ANT 4523, Courants théoriques en anthropologie contemporaine "
"ANT 4533, Ethnographie des nouveaux médias "
"ANT 4535, Nourriture et systèmes alimentaires "
"ANT 4537, Anthropologie historique "
"ANT 4701, Méthodes de recherche avancées en anthropologie "
"ANT 5100, Contemporary Theory in Anthropology "
"ANT 5101, Multimodal Anthropology "
"ANT 5500, Théories contemporaines en anthropologie "
"ANT 5501, Anthropologie multimodale "
"ANT 6101, Anthropology of the Political, Rights and Power "
"ANT 6102, Globalization and Capitalist Imaginaries "
"ANT 6103, The ''Culture'' Question in Anthropology "
"ANT 6104, Indigeneities "
"ANT 6112, Medical Anthropology "
"ANT 6122, Environmental Anthropology "
"ANT 6150, Methodology and Research Proposal in Anthropology "
"ANT 6501, Anthropologie du politique, droits et pouvoir "
"ANT 6502, Mondialisation et imaginaires capitalistes "
"ANT 6503, Questions autour de la notion de «culture» en anthropologie "
"ANT 6504, Autochtonies "
"ANT 6512, Anthropologie de la santé "
"ANT 6522, Anthropologie de l'environnement "
"ANT 6550, Méthodologie et problématique "
"ANT 6932, Lectures dirigées en anthropologie / Directed Readings in Anthropology "
"ANT 7990, Projet de thèse / Thesis Proposal"
